Item Number,Old product code,LOCAL ITEM NAME TRANSLATION,UPC Code,Primary Units Type
2000000,CL10W,Culimat Xpress Oven tīrīšanas līdzeklis 1L,2000000265780,Piece
2000001,30190082,Papīra krūze ar dubultām sienām 350Ml 28Gab.=0.370Kg,2000000255163,Piece
2000002,3755310,Sildelements 1500W 230V,2000000277349,Piece
2000003,T10425,Dezinfekcijas un mazgašanas līdzeklis Stera Sheen Gr.,2100000012824,Piece
2000004,50777050000,Tīrošais flomasters termo termogalviņai,2000000012810,Piece
2000006,65620170501,Termo printera galviņa 640/80 Mm Glp,2000000060057,Piece
2000007,1010319,Konservu atvērējs ar stiprinājumu KT,5023476013539,Piece
2000014,700460,Elektriskā atslēga mantu glabātuves skapim,2000000119748,Piece
2000015,80100005,Miksera korpuss Linoness H/5,2000000062204,Piece
2000016,80100014,Miksera vārpstas blīve Lioness H/5 V.K.,2000000062235,Piece
2000017,80100041,Miksera trauks,2000000123783,Piece
2000018,90003023,Motors Lioness H/5,2000000062266,Piece
"2000020,009G7026,""GBC 1.18""""""""S lodveida vārsts"",2000000149875,Piece"
2000021,1.05608,Kafijas dzirnavas La San Marco automātam,2000000092584,Piece
2000022,100002002,Augstspiediena caurules noslēggala stiprinājum blīve,2000000123745,Piece
2000023,110003122,Distance skrūve,2000000106083,Piece
2000024,110004070,Cauruļu sadalītājs D.36,2000000123721,Piece
2000025,110030006,Pārslēdzēja plastmasas stienītis Lioness H/5,2000000062655,Piece
"2000026,012071,""Ieejas vārtiņu vērtne Centro door 1, 85Cm,"",2000000158648,Piece"
2000027,13675,Mehānisma plate priekš naudas lādes,2000000136394,Piece
2000033,15865,Spuldze Dulux T/E 42W/840 PLU,2000000067094,Piece
2000034,2.05047,Boilers 1L Plus 5 La San Marco,2000000140209,Piece
2000036,022087,Baterija elektriskā,2000000067728,Piece
2000037,0230015158R,Kafijas konteineris samontēts,2000000123684,Piece
2000038,0230030014CL,Produkta padeves spirāle Lioness H/5,2000000062327,Piece
2000039,0230030044R,Produkta konveijers (Labais) Lioness H/5,2000000123660,Piece
2000040,0230030058R,Produkta konveijers (Labais) Lioness H/5,2000000062341,Piece
2000041,250008036,Kafijas konuss,2000000110592,Piece
2000042,0250008107R,Apakšējā filtra atbalsta rullis,2000000115610,Piece
2000043,025008110CL,Kafijas pievades trubiņa,2000000115627,Piece
2000044,25110,Spuldze T4 20W 4000K Kanlux,2000000064543,Piece
2000045,3.05031,Diodes adapters La San Marco,2000000092591,Piece
2000046,032F1206,Solenoids Danfoss EVR6 10mm,2000000130019,Piece
"2000047,0425/10,""PVC cimdi Memphis, garums 60cm izm. 10"",2000000126555,Piece"
2000049,05B-1CL,Savienojums 05B-1 CL,2000000131238,Piece
2000050,600016059,Līmeņrādītāja fiksācijas plastmasa Linoness H/5,2000000062594,Piece
2000051,600016078,Spirāle 1600W 230V Lioness H/5,2000000062419,Piece
2000052,0600016405R,Boilera pumpis Alegria,2000000144535,Piece
2000053,600019104,Boilera pusdaļa Cino,2000000123752,Piece
2000054,6055106,Scotsman iztvaikotāja izolācija,2000000163802,Piece
2000055,060B0169,MP-54 eļļas spiediena relejs 120sek.,2000005002502,Piece
2000057,068-2006,Dīze Nr.03,2000005002519,Piece
2000058,068-2015,Dīze Nr.2 (068-2015),2000000047188,Piece
2000059,068Z3414,Termoregulējošais ventilis -40....+10,2000000087092,Piece
2000060,08.01.10,Kombinētā termometra kalibrēšana,2000000073170,Piece
2000062,084B7518,EKC 301 elektroniskais bloks,2000005002557,Piece
2000063,91587,Iztvaikotājs 6R-4T,2000000076683,Piece
2000064,092799K,Gas heater Th4X25NG,2000005002564,Piece
2000065,1000904WN/L,Gultnis 6904 2Rs W N/L,2000000166377,Piece
2000066,100216,Minikontaktors 3P 1No 4Kw 24V Dc,2000000087542,Piece
2000067,102829,Purity C150 filtra kārtridžs,2000000093475,Piece
2000068,10347,Drenžas konektors Adler,2000000136592,Piece
2000069,104147,R301D naža vāciņš,2000000114293,Piece
2000070,105865631,Gaisa filtrs,2000000082837,Piece
2000071,105893127,Multivac vakuma iekārtas blīve,2000000079042,Meter
2000072,1079/7,Solenoids 1079/7 22,2000005002571,Piece
2000073,10L,Elektriskais katls zupai 10L,2000005002595,Piece
2000074,11-63501,Sildelements Veke 11-63501,2000005002625,Piece
2000075,11131198180,Aizkausēšanas sildelements L650mm,2000000027807,Piece
2000076,11351,Bukse mazgāšanas rokai Adler Cf40E,2000000136561,Piece
2000077,1140,Paneļa uzlīme WBC20,2000000103419,Piece
2000078,11590002,HANDY termo uzlīme 58*60 ECO/40 750 gab. 1gab.=0.398kg,2000000131900,Piece
2000079,11590005,HANDY termo uzlīme 58*60 Core 76 3250 gab.= 1.806kg,2000000131931,Piece
2000080,11590008,HANDY termo uzlīme 50*40 EKO Pelēka 1000gab./1rull.=0.335kg,2000000137902,Piece
2000081,11590011,HANDY termo/EKO uzlīme 58*112 400gab/1 rullis = 0.430kg,2000000162560,Piece
2000082,11590014,HANDY termo uzlīmes 30*40/Core40 1000 uzlīmes Rullī=0.198kg,2000000167640,Piece
2000083,1160504,Sietiņš kafijas automātam,2000000139029,Piece
2000084,11640555,Kid Caddie iepirkumu ratiņu ritenītis AV,2000000080406,Piece
2000085,11665253,Iepirkumu ratiņu ritenis Caddie aizmugurējais,2000000061535,Piece
2000086,117200,Starplika diska skrūve Robot Coupe,2000000025315,Piece
2000087,117452,Produkta piespiedēj rokturis Robot Coupe CL50,2000000162881,Piece
"2000088,117U5017,""Palaišanas kapacitators 80MF (Fr,Sc)"",2000005002632,Piece"
2000089,1186612,Blīve priekš sprauslām (10gab),2000000100630,Piece
2000090,120037,Gaisa mitruma sensors,2000000153001,Piece
2000091,120103,Drošinātājs 12A,2000000152998,Piece
"2000093,120501,""Drošinātājs 3.15A, 5*20mm"",2000000152981,Piece"
2000094,120567,Vitrīnas lampas aizsargs Ubert,2000000069777,Piece
2000095,1213983,Sadale elekt. V/A 24Mod. IP65,2000005001826,Piece
2000096,121986,Priekšējais stikls DHT/DKT 71,2000000151267,Piece
2000097,123.06,Cepešpanna 60*40cm H-1.2cm alumīnija,2000000067063,Piece
2000098,126101,Vadības rokturis Ubert,2000000116518,Piece
2000099,12727,Dekoratīvā folija trauk.maš. AT50/PM50E bez sūkņa,2000000131467,Piece
2000100,13.00058,Atsperplāksne,2000000123998,Piece
"2000101,130716,""Pāreja 7/8 * 5/8"""" (F-F)"",2000000147963,Piece"
"2000103,130900,""Savienojums 5/8"""" (F-F)"",2000000147796,Piece"
"2000105,131672,""Līkums 90 1/2"""" (F-F) Lt"",2000000138213,Piece"
"2000106,131692,""Līkums 90 7/8"""" (F-F) Lt"",2000000147871,Piece"
"2000108,131810,""Līkums 1-pusējs 90"""" 3/4 (M-F)"",2000000149103,Piece"
"2000110,132818,""T-Savienojums 1.1/8"""" (F-F-F)"",2000000147956,Piece"
2000111,14.00454,Skrūve M4X8 Plus5,2000000128566,Piece
2000112,1449689,Silikona caurule D 10*13,2000000116457,Meter
2000115,151014,Ventilators Fb-108-1 120*120*38,2000000069067,Piece
"2000116,1530208,""Ventilātors binam 230V.50Hz IP00, 44W"",2000000083957,Piece"
2000117,15665,Groziņa sliede Adler CF40E,2000000136721,Piece
2000118,165060,Arco leņķa vent.veļ.maš. 1/2*3/4,2000000165387,Piece
2000119,1732120,Q1000 Grila lampa (312165) (5021371),2000000014227,Piece
2000120,180018FAG,Gultnis 608 2RS FFAG,2000000092829,Piece
2000121,180104,Gultnis 6004 2RS,2000000065410,Piece
2000128,182081,Nipelis ar iekš. atsperi,2000000138244,Piece
2000129,185315,Kapilārs 1000 mm/ ar ventili (185315),2000000060125,Piece
2000130,187001,P9B01VN kont.bolks 1NC,2000000074641,Piece
2000131,190.002.12,Tapa 1/4*1 1/2,2000000120713,Piece
2000132,190.006.85,Durvju blīvgumija 650*875mm F3DN,2000000077956,Piece
2000133,196184,Termoplastiskā kapilāra caurule 80000024,2000005001338,Meter
2000134,196197,K-LCP kapilārs 1500mm,2000005001376,Piece
2000136,20058,Presostats 55/20,2000000110578,Piece
2000137,2012,Hidrauliskais ventilis H20PA Talsa,2000000025131,Piece
2000138,2039,Mikroslēdzis H20PA,2000000025148,Piece
2000139,20717,Temperatūras sensors,2000000151595,Piece
2000140,22.26.040,Ritenis apakš. 5.6*9mm niķelis,2000000118086,Piece
2000142,235019/066,Termoreg.vārsts TER/A4 R22,2000005002762,Piece
2000143,23928,Swibo Miesnieka nazis 28 cm lielais,7611640011054,Piece
"2000144,24425,""Swibo Nazis ar robotu asmeni 25 cm (elastīgs,apaļš gals)"",7611640011160,Piece"
2000145,248216,Swibo Zivju nazis 16cm,2000000095004,Piece
2000146,262164,Savilču turētājs 7.8mm (100gab),2000005002786,Piece
2000147,27059,Vitrīnas augšējais vāks ET70,2000000134352,Piece
2000148,273200,Purity C600 filtra kartridžs,2000000103174,Piece
2000149,28051,Kubiņu rīve 2X2 CL 50,2000000084619,Piece
2000150,28059,Rīves disks 5mm CL50/55/60,2000000061825,Piece
2000151,28065,Griezēj disks 5mm CL50/55/60,2000000061832,Piece
2000152,28135,Kartupeļu frī disks 10*10 CL50/CL60,2000000151601,Piece
2000153,29064,Produkta piespiedēja vadīklis Robot Coupe CL50,2000000162867,Piece
2000154,29066,Vaika aizslēgs,2000000102535,Piece
2000155,29564,Šķēlētāja diska asmens Cl50,2000000129266,Piece
2000156,29779,Nazis C2,2000000128900,Piece
2000157,30000012,Cauruļu savienojums,2000000145228,Piece
"2000158,3010.01.002,""Soehnle 3010 svaru termināls , statīvs, IP65"",2000000046624,Piece"
2000159,3016288,Termostats Ego 50-300C,2000000159249,Piece
2000160,30185160,Papīra krūze Brun/Vit SP8/215 200ml 100gab/0.468kg,2000000120409,Piece
2000161,3020111,Blīvējums D.4mm caurulei,2000000102689,Piece
2000162,304368,Slīdošais H profils 2m Ubert karstajai vitrīnai,2000000101149,Piece
